ชื่อเพลง,ชื่อนักร้อง,ชื่อวง,นาที,ลิ้ง url,ประเภทเพลง,ธีมงาน,ภาษา
จดจำ ,-,Only Monday,07:00,https://www.youtube.com/embed/XJRkTyvoL4k?si=pPR7gS5GAbdlDUoo,"Indie,Rock,Alternative","งานเลี้ยงอำลา,งานจบการศึกษา",ภาษาไทย
จากตรงนี้ที่(เคย)สวยงาม,-,AYLA's,05:12,https://www.youtube.com/embed/nBBIuLUYa_w?si=QITHkUddeEnLIgAp,"Indie,Pop,Dream Pop","นิทรรศการศิลปะ,งานชิลๆ",ภาษาไทย
Rolling in the Deep,Adele,-,03:53,https://www.youtube.com/embed/rYEDA3JcQqw?si=BVitiNfcFdFTx84c,"Pop,Soul,Soul","งานเลี้ยง,งานค็อกเทล",อังกฤษ
GANGNAM STYLE,PSY ,-,04:12,https://www.youtube.com/embed/9bZkp7q19f0?si=InnXCYzsJbktpv7I,"K-Pop,Dance","งานปาร์ตี้,สนุกสนาน",เกาหลี
Despacito,Luis Fonsi ft. Daddy Yankee,-,04:41,https://www.youtube.com/embed/kJQP7kiw5Fk?si=Y2awrwxL-eZ1lokc,"Reggaeton,Latin Pop","งานธีมละติน,สนุกสนาน",สเปน
Happy,Pharrell Williams,-,04:00,https://www.youtube.com/embed/ZbZSe6N_BXs?si=AmuiL2C_fSDg7Dnj,Neo Soul,"งานเลี้ยงบริษัท,งานครอบครัว",อังกฤษ
Perfect,Ed Sheeran,-,04:39,https://www.youtube.com/embed/2Vv-BfVoq4g?si=HbMRLuKFWS63eyrK,"Pop,Romantic",งานแต่งงาน,อังกฤษ
A Thousand Years,Christina Perri,-,04:45,https://www.youtube.com/embed/rtOvBOTyX00?si=Lvd4yrDrbKuf2DnA,Pop,งานแต่งงาน,อังกฤษ
Bad Guy,Billie Eilish,-,03:25,https://www.youtube.com/embed/DyDfgMOUjCI?si=UYCVGs6IXKwfeDsc,Electropop,"ทันสมัย,สนุกสนาน",อังกฤษ
Take Me To Church,Hozier,-,04:16,https://www.youtube.com/embed/PVjiKRfKpPI?si=KDHXHz7p8ECydPP_,"Blues,Soul","งานคอนเสิร์ต, งานศิลปะ",อังกฤษ
Lean On,Major Lazer & DJ Snake feat. MØ,,02:58,https://www.youtube.com/embed/YqeW9_5kURI?si=NN8JR53sTIbwI6qA,EDM,"งานเทศกาลดนตรี,งานปาร์ตี้",อังกฤษ
คู๋ชีวิต,-,Cocktail,05:47,https://www.youtube.com/embed/3mYVyVY-lU4?si=eevOTgG_vtvdFVES,Romantic ,งานแต่งงาน,ภาษาไทย
ดาวหางฮัลเลย์,-,fello fello,04:19,https://www.youtube.com/embed/WtcKJtwMD2E?si=00fVYPUbfth_ZmN7,Pop,งานแต่งงาน,ภาษาไทย
เธอคือกาแฟในตอนเช้า,-,No One Else,04:36,https://www.youtube.com/embed/m6qgxvYcjGU?si=CNXNN2hKpV77N8Hx,Pop,งานแต่งงาน,ภาษาไทย
ของขวัญ,-,Musketeers,05:22,https://www.youtube.com/embed/MG8np3qtgJY?si=8EtpV-YxVc8fbU-Q,Romantic ,"งานแต่งงาน,งานปัจฉิม",ภาษาไทย
แค่คุณ,-,Musketeers,05:01,https://www.youtube.com/embed/16-wFAbvQiU?si=IIegJDuoOcF-K_zX,Romantic ,งานแต่งงาน,ภาษาไทย
รักแท้,NuNew,-,03:35,https://www.youtube.com/embed/7UAtDPvraos?si=kehAWk1gprL2NcVZ,Pop,งานแต่งงาน,ภาษาไทย
ข้างกัน,-,Three man down Feat.ออม TELEx TELEXs,05:12,https://www.youtube.com/embed/ks7p6DA0dKk?si=RxAbHepG2WcL0jUk,Pop,"งานแต่งงาน,งานปัจฉิม",ภาษาไทย
ตั้งแต่มีเธอชั้นมีความสุข,Violette Wautier ,-,04:15,https://www.youtube.com/embed/fgj8x925w0o?si=UadatP5rTW9T-xPr,Pop,งานแต่งงาน,ภาษาไทย
ธรรมดาแสนพิเศษ,-,ANATOMY RABBIT,04:03,https://www.youtube.com/embed/h2VIUdst5y4?si=2IKZ5H_HOei9AixM,Pop,งานแต่งงาน,ภาษาไทย
Untill I Found You,Stephen Sanchez,-,02:25,https://www.youtube.com/embed/GxldQ9eX2wo?si=GQ-05uEEckbtlO2b,Pop,งานแต่งงาน,อังกฤษ
เหตุผลของการมีชีวิตอยู่ คือการได้พบเธอ,-,No One Else,04:03,https://www.youtube.com/embed/KjrkRDQ26u4?si=GavL17taQDvpBbzl,Pop,งานแต่งงาน,ภาษาไทย
At My Worst,Pink Sweat$,-,02:49,https://www.youtube.com/embed/VXzAJd8UJl8?si=MRGmjGKeBCJjYzCp,"Pop,R&B",งานแต่งงาน,อังกฤษ
Dandelions,Ruth B.,-,03:55,https://www.youtube.com/embed/W8a4sUabCUo?si=1WdzkFgef7mjktAI,Romantic ,งานแต่งงาน,อังกฤษ
I like Me Better,Lauv,-,03:17,https://www.youtube.com/embed/a7fzkqLozwA?si=JJu5Pu31tlBaaczZ,Romantic ,"งานแต่งงาน,งานปัจฉิม",อังกฤษ
Enchanted,Taylor Swift,-,05:52,https://www.youtube.com/embed/vv3um0BlygY?si=A18FgiaGAPWOifW3,Romantic ,งานแต่งงาน,อังกฤษ
เพลงรัก,-,Three man down,04:35,https://www.youtube.com/embed/OYPiXBIgvJ8?si=YZ9BOPQ9Xbw2Bf3A,Pop,งานแต่งงาน,ภาษาไทย
