ชื่อเพลง,ชื่อนักร้อง,ชื่อวง,นาที,ลิ้ง url,ประเภทเพลง,ธีมงาน,ภาษา
จดจำ ,-,Only Monday,7:00,https://www.youtube.com/embed/XJRkTyvoL4k?si=pPR7gS5GAbdlDUoo,"Indie,Rock,Alternative","งานเลี้ยงอำลา, งานจบการศึกษา",ภาษาไทย
จากตรงนี้ที่(เคย)สวยงาม,-,AYLA's,5:12,https://www.youtube.com/embed/nBBIuLUYa_w?si=QITHkUddeEnLIgAp,"Indie Pop, Dream Pop ","นิทรรศการศิลปะ, งานชิลๆ",ภาษาไทย
Rolling in the Deep,Adele,-,3:53,https://www.youtube.com/embed/rYEDA3JcQqw?si=BVitiNfcFdFTx84c,"Pop, Soul","งานเลี้ยง, งานค็อกเทล",อังกฤษ
GANGNAM STYLE,PSY ,-,4:12,https://www.youtube.com/embed/9bZkp7q19f0?si=InnXCYzsJbktpv7I,"K-Pop, Dance","งานปาร์ตี้, สนุกสนาน",เกาหลี
Despacito,Luis Fonsi ft. Daddy Yankee,-,4:41,https://www.youtube.com/embed/kJQP7kiw5Fk?si=Y2awrwxL-eZ1lokc,"Reggaeton, Latin Pop","งานธีมละติน, สนุกสนาน",สเปน
Happy,Pharrell Williams,-,4:00,https://www.youtube.com/embed/ZbZSe6N_BXs?si=AmuiL2C_fSDg7Dnj,Neo Soul,"งานเลี้ยงบริษัท, งานครอบครัว",อังกฤษ
Perfect,Ed Sheeran,-,4:39,https://www.youtube.com/embed/2Vv-BfVoq4g?si=HbMRLuKFWS63eyrK,"Pop, Romantic","งานแต่งงาน, งานหมั้น",อังกฤษ
A Thousand Years,Christina Perri,-,4:45,https://www.youtube.com/embed/rtOvBOTyX00?si=Lvd4yrDrbKuf2DnA,Pop,"งานแต่งงาน, งานหมั้น",อังกฤษ
Bad Guy,Billie Eilish,-,3:25,https://www.youtube.com/embed/DyDfgMOUjCI?si=UYCVGs6IXKwfeDsc,Electropop,"ทันสมัย, สนุกสนาน",อังกฤษ
Take Me To Church,Hozier,-,4:16,https://www.youtube.com/embed/PVjiKRfKpPI?si=KDHXHz7p8ECydPP_,"Blues, Soul","งานคอนเสิร์ต, งานศิลปะ",อังกฤษ
Lean On,Major Lazer & DJ Snake feat. MØ,,2:58,https://www.youtube.com/embed/YqeW9_5kURI?si=NN8JR53sTIbwI6qA,EDM,"งานเทศกาลดนตรี, งานปาร์ตี้",อังกฤษ
